"item","faixa","categoria","observado","esperado","proporcao_observada","proporcao_esperada"
"Item_10","17","1",93,90.4593498651475,0.031,0.0301531166217158
"Item_10","18","1",51,51.6977192771961,0.017,0.0172325730923987
"Item_10","19","1",16,14.6917518774744,0.00533333333333333,0.00489725062582482
"Item_11","4","0",14,16.9605613547213,0.00466666666666667,0.00565352045157376
"Item_11","5","0",19,18.412611606476,0.00633333333333333,0.00613753720215866
"Item_11","6","0",45,46.9274143370812,0.015,0.0156424714456937
"Item_11","7","0",89,88.288127273578,0.0296666666666667,0.0294293757578593
"Item_11","8","0",151,144.730468233116,0.0503333333333333,0.0482434894110388
"Item_11","9","0",207,206.904590367418,0.069,0.0689681967891395
"Item_11","10","0",223,222.898583889844,0.0743333333333333,0.0742995279632813
"Item_11","11","0",270,264.815462185717,0.09,0.0882718207285724
"Item_11","12","0",297,300.118984148881,0.099,0.10003966138296
"Item_11","13","0",252,257.159836761444,0.084,0.0857199455871479
"Item_11","14","0",207,205.588120238144,0.069,0.0685293734127146
"Item_11","15","0",153,164.359808542334,0.051,0.0547866028474446
"Item_11","16","0",103,89.8607469388343,0.0343333333333333,0.0299535823129448
"Item_11","17","0",46,47.8597871008854,0.0153333333333333,0.0159532623669618
"Item_11","18","0",17,16.3459300287165,0.00566666666666667,0.00544864334290548
"Item_11","19","0",2,2.04265475423631,0.000666666666666667,0.000680884918078769
"Item_11","4","1",4,1.03943864527874,0.00133333333333333,0.000346479548426247
"Item_11","5","1",1,1.58738839352403,0.000333333333333333,0.000529129464508008
"Item_11","6","1",7,5.07258566291876,0.00233333333333333,0.00169086188763959
"Item_11","7","1",11,11.7118727264222,0.00366666666666667,0.00390395757547407
"Item_11","8","1",17,23.2695317668838,0.00566666666666667,0.00775651058896126
"Item_11","9","1",40,40.0954096325817,0.0133333333333333,0.0133651365441939
"Item_11","10","1",52,52.1014161101561,0.0173333333333333,0.0173671387033854
"Item_11","11","1",70,75.1845378142829,0.0233333333333333,0.025061512604761
"Item_11","12","1",108,104.881015851119,0.036,0.0349603386170398
"Item_11","13","1",118,112.840163238556,0.0393333333333333,0.0376133877461852
"Item_11","14","1",115,116.411879761856,0.0383333333333333,0.0388039599206186
"Item_11","15","1",136,124.640191457666,0.0453333333333333,0.0415467304858887
"Item_11","16","1",83,96.1392530611657,0.0276666666666667,0.0320464176870552
"Item_11","17","1",80,78.1402128991145,0.0266666666666667,0.0260467376330382
"Item_11","18","1",46,46.6540699712835,0.0153333333333333,0.0155513566570945
"Item_11","19","1",14,13.9573452457637,0.00466666666666667,0.00465244841525457
"Item_12","4","0",18,16.805952995625,0.006,0.005601984331875
"Item_12","5","0",19,18.2257631997336,0.00633333333333333,0.00607525439991121
"Item_12","6","0",47,46.4695801408288,0.0156666666666667,0.0154898600469429
"Item_12","7","0",90,87.560530086917,0.03,0.0291868433623057
"Item_12","8","0",140,143.942988354219,0.0466666666666667,0.0479809961180729
"Item_12","9","0",203,206.663576929388,0.0676666666666667,0.0688878589764628
"Item_12","10","0",215,223.976054855426,0.0716666666666667,0.0746586849518087
"Item_12","11","0",276,268.231055322295,0.092,0.0894103517740983
"Item_12","12","0",306,307.175169214506,0.102,0.102391723071502
"Item_12","13","0",267,266.76060542725,0.089,0.0889202018090833
"Item_12","14","0",224,216.93992667981,0.0746666666666667,0.0723133088932701
"Item_12","15","0",180,177.208317694693,0.06,0.0590694392315642
"Item_12","16","0",103,99.4970502745498,0.0343333333333333,0.0331656834248499
"Item_12","17","0",49,54.6998034154312,0.0163333333333333,0.0182332678051437
"Item_12","18","0",18,19.34656363804,0.006,0.00644885454601332
"Item_12","19","0",2,2.49394084307065,0.000666666666666667,0.000831313614356882
"Item_12","4","1",0,1.194047004375,0,0.000398015668124999
"Item_12","5","1",1,1.77423680026636,0.000333333333333333,0.000591412266755452
"Item_12","6","1",5,5.53041985917105,0.00166666666666667,0.00184347328639035
"Item_12","7","1",10,12.439469913083,0.00333333333333333,0.00414648997102768
"Item_12","8","1",28,24.0570116457814,0.00933333333333333,0.00801900388192714
"Item_12","9","1",44,40.3364230706117,0.0146666666666667,0.0134454743568706
"Item_12","10","1",60,51.023945144574,0.02,0.017007981714858
"Item_12","11","1",64,71.7689446777048,0.0213333333333333,0.0239229815592349
"Item_12","12","1",99,97.8248307854937,0.033,0.0326082769284979
"Item_12","13","1",103,103.239394572749,0.0343333333333333,0.0344131315242498
"Item_12","14","1",98,105.06007332019,0.0326666666666667,0.0350200244400632
"Item_12","15","1",109,111.791682305307,0.0363333333333333,0.0372638941017691
"Item_12","16","1",83,86.5029497254504,0.0276666666666667,0.0288343165751501
"Item_12","17","1",77,71.3001965845688,0.0256666666666667,0.0237667321948563
"Item_12","18","1",45,43.6534363619601,0.015,0.0145511454539867
"Item_12","19","1",14,13.5060591569294,0.00466666666666667,0.00450201971897646
"Item_13","4","0",17,16.7199112823816,0.00566666666666667,0.00557330376079387
"Item_13","5","0",17,18.1066620733078,0.00566666666666667,0.00603555402443595
"Item_13","6","0",45,46.1314783409792,0.015,0.0153771594469931
"Item_13","7","0",83,86.8997337531702,0.0276666666666667,0.0289665779177234
"Item_13","8","0",149,142.916328803226,0.0496666666666667,0.0476387762677421
"Item_13","9","0",203,205.478613179535,0.0676666666666667,0.0684928710598449
"Item_13","10","0",219,223.322298451326,0.073,0.0744407661504419
"Item_13","11","0",274,268.758849521899,0.0913333333333333,0.0895862831739665
"Item_13","12","0",320,310.234418895218,0.106666666666667,0.103411472965072
"Item_13","13","0",267,272.823381760977,0.089,0.0909411272536588
"Item_13","14","0",231,226.277017382268,0.077,0.0754256724607561
"Item_13","15","0",191,190.612850589956,0.0636666666666667,0.0635376168633188
"Item_13","16","0",102,112.343376956881,0.034,0.0374477923189605
"Item_13","17","0",69,66.7428415950789,0.023,0.0222476138650263
"Item_13","18","0",25,26.7992230114506,0.00833333333333333,0.0089330743371502
"Item_13","19","0",7,4.28746041782228,0.00233333333333333,0.00142915347260743
"Item_13","4","1",1,1.28008871761838,0.000333333333333333,0.000426696239206126
"Item_13","5","1",3,1.89333792669217,0.001,0.000631112642230723
"Item_13","6","1",7,5.86852165902076,0.00233333333333333,0.00195617388634025
"Item_13","7","1",17,13.1002662468299,0.00566666666666667,0.00436675541560996
"Item_13","8","1",19,25.0836711967736,0.00633333333333333,0.00836122373225787
"Item_13","9","1",44,41.5213868204652,0.0146666666666667,0.0138404622734884
"Item_13","10","1",56,51.6777015486743,0.0186666666666667,0.0172259005162248
"Item_13","11","1",66,71.2411504781002,0.022,0.0237470501593667
