"item","parametro","verdadeiro","estimativa","erro_padrao","ic95_inferior","ic95_superior"
20,"b3",1.45,1.68511603680733,0.167581467984524,1.35666239508131,2.01356967853335
21,"b3",1.65,1.51125348914748,0.130850279265095,1.25479165442089,1.76771532387408
22,"b3",-2.8,-2.59309867187006,0.262541005185257,-3.10766958649811,-2.07852775724201
23,"b3",1.9,1.88225063444035,0.159585173261209,1.56946944238179,2.1950318264989
24,"b3",-0.7,-0.864404598899192,0.095421684319395,-1.05142766350936,-0.677381534289027
25,"b3",0.4,0.371825302226107,0.0763077982839171,0.222264765850082,0.521385838602132
26,"b3",-1.55,-1.85198378765781,0.179039768566592,-2.20289528584872,-1.5010722894669
27,"b3",1.4,1.43198377109064,0.116200714978834,1.20423455475433,1.65973298742696
28,"b3",-0.25,-0.227497868334851,0.0738698470633323,-0.372280108122464,-0.0827156285472374
29,"b3",-0.75,-0.829493503583797,0.0880236553790116,-1.00201669791422,-0.656970309253369
30,"b3",-0.15,-0.0629753261042061,0.0681134375718531,-0.196475210608256,0.0705245583998434
1,"b4",-2,-1.71953041197663,0.170338870625789,-2.0533884635704,-1.38567236038285
2,"b4",-1.8,-1.68288973668314,0.158779605725135,-1.99409204538387,-1.3716874279824
3,"b4",-1.6,-1.68993511320057,0.177062642455504,-2.03697151542085,-1.34289871098029
4,"b4",-1.4,-1.34750321934539,0.135120184683109,-1.61233391490868,-1.08267252378209
5,"b4",-1.2,-1.15679855225616,0.109855486892802,-1.37211135007016,-0.941485754442157
6,"b4",-1,-1.06783888165155,0.119786243456627,-1.30261560466988,-0.833062158633213
7,"b4",-0.8,-0.769350870077453,0.0857984132043234,-0.937512669888612,-0.601189070266293
8,"b4",-0.6,-0.646244909344506,0.0843079400749997,-0.811485435502266,-0.481004383186745
9,"b4",-0.4,-0.444275807482352,0.079190505670128,-0.599486346513317,-0.289065268451386
10,"b4",-0.2,-0.125939852428273,0.0685296963493795,-0.260255589144523,0.00837588428797681
11,"b4",0,-0.111781669870855,0.0719486043767492,-0.252798343187204,0.0292350034454944
12,"b4",0.2,0.328256639741662,0.0700317392217915,0.19099695309225,0.465516326391074
13,"b4",0.4,0.550713932035245,0.0843857800666612,0.385320842297271,0.716107021773219
